id,category,question,option_a,option_b,option_c,option_d,answer_index,points,difficulty
Q00039,MIT,Au stand MIT : Quel domaine DevOps est cité par MIT ?,Docker,BIOS,Assembly,VBScript,0,10,facile
Q00040,MIT,Au stand MIT : Quelle solution agricole de MIT est mise en avant ?,NDEMRI,Malloum,Pharmacie de Garde Maroua,Djanguirde,0,10,facile
Q00041,MIT,Au stand MIT : Quelle solution éducative par SMS est associée à MIT ?,Malloum,NDEMRI,Docker,PostgreSQL,0,10,facile
Q00042,MIT,Au stand MIT : Quel service numérique de santé est visible dans l'écosystème MIT ?,Pharmacie de Garde Maroua,NDEMRI,Malloum,React,0,10,facile
Q00043,MIT,Au stand MIT : Quelle méthode de travail MIT cite-t-elle ?,Méthodologies agiles,Méthode sans test,Développement sans analyse,Programmation papier,0,10,facile
Q00044,MIT,Au stand MIT : Quelle étape vient avant le développement dans la méthode affichée par MIT ?,Design,Déploiement,Monitoring,Maintenance,0,10,facile
Q00045,MIT,Au stand MIT : Quelle étape correspond à l'étude des besoins et de faisabilité ?,Analyse,Design,Développement,Déploiement,0,10,facile
Q00046,MIT,Au stand MIT : Quelle valeur résume l'approche de MIT ?,Innovation ancrée dans les réalités locales,Technologie sans contexte,Solutions exclusivement étrangères,Développement sans utilisateurs,0,10,facile
Q00047,MIT,Au stand MIT : Quel type d'architecture MIT mentionne-t-elle ?,Microservices,Architecture uniquement monolithique,Peer-to-peer obligatoire,Mainframe uniquement,0,10,facile
Q00048,MIT,Au stand MIT : Quel langage backend est cité par MIT ?,Python,BASIC,Delphi uniquement,Lua uniquement,0,10,facile
Q00049,MIT,Au stand MIT : Quel framework backend PHP est cité ?,Laravel,React,Flutter,TensorFlow,0,10,facile
Q00050,MIT,Au stand MIT : Quel framework frontend supplémentaire est cité ?,Vue.js,NumPy,Keras,Docker,0,10,facile
Q00051,MIT,Défi express : Que signifie MIT dans Maroua Innovation Technology ?,Maroua Innovation Technology,Machine Intelligence Technology,Maroua Internet Telecom,Modern Innovation Team,0,10,facile
Q00052,MIT,Défi express : Quel est le domaine principal de MIT ?,Développement de solutions technologiques,Production agricole,Transport routier,Commerce de détail,0,10,facile
Q00053,MIT,Défi express : Dans quelle ville MIT est-elle implantée ?,Maroua,Douala,Bafoussam,Bertoua,0,10,facile
Q00054,MIT,Défi express : Quelle est une expertise de MIT ?,Intelligence artificielle et Machine Learning,Construction de routes,Pêche industrielle,Production textile,0,10,facile
Q00055,MIT,Défi express : Quel framework frontend est cité par MIT ?,React,Django,Spring,Laravel uniquement,0,10,facile
Q00056,MIT,Défi express : Quel framework full-stack JavaScript est cité par MIT ?,Next.js,Symfony,Flask,Rails,0,10,facile
Q00057,MIT,Défi express : Quel langage est utilisé côté mobile chez MIT ?,Kotlin,COBOL,Fortran,Pascal,0,10,facile
Q00058,MIT,Défi express : Quel framework mobile est cité par MIT ?,Flutter,jQuery,Express,Django,0,10,facile
Q00059,MIT,Défi express : Quelle base de données est citée parmi les technologies MIT ?,PostgreSQL,SQLite uniquement,Access,FoxPro,0,10,facile
Q00060,MIT,Défi express : Quelle technologie cloud est citée par MIT ?,AWS,FTP,Telnet,IRC,0,10,facile
Q00061,MIT,Défi express : Quelle est une mission affichée par MIT ?,Développer des solutions contextuelles et impactantes,Remplacer les écoles,Vendre du matériel uniquement,Créer des jeux exclusivement,0,10,facile
Q00062,MIT,Défi express : Quelle vision est associée à MIT ?,Démocratiser l'accès à la technologie en Afrique,Limiter l'accès au numérique,Supprimer les services mobiles,Réserver l'IA aux grandes entreprises,0,10,facile
Q00063,MIT,Défi express : Quel type de développement MIT met en avant ?,Applications Web Progressives,Applications DOS uniquement,Sites statiques sans interaction,Logiciels sans interface,0,10,facile
Q00064,MIT,Défi express : Quel domaine DevOps est cité par MIT ?,Docker,BIOS,Assembly,VBScript,0,10,facile
Q00065,MIT,Défi express : Quelle solution agricole de MIT est mise en avant ?,NDEMRI,Malloum,Pharmacie de Garde Maroua,Djanguirde,0,10,facile
Q00066,MIT,Défi express : Quelle solution éducative par SMS est associée à MIT ?,Malloum,NDEMRI,Docker,PostgreSQL,0,10,facile
Q00067,MIT,Défi express : Quel service numérique de santé est visible dans l'écosystème MIT ?,Pharmacie de Garde Maroua,NDEMRI,Malloum,React,0,10,facile
Q00068,MIT,Défi express : Quelle méthode de travail MIT cite-t-elle ?,Méthodologies agiles,Méthode sans test,Développement sans analyse,Programmation papier,0,10,facile
Q00069,MIT,Défi express : Quelle étape vient avant le développement dans la méthode affichée par MIT ?,Design,Déploiement,Monitoring,Maintenance,0,10,facile
Q00070,MIT,Défi express : Quelle étape correspond à l'étude des besoins et de faisabilité ?,Analyse,Design,Développement,Déploiement,0,10,facile
Q00071,MIT,Défi express : Quelle valeur résume l'approche de MIT ?,Innovation ancrée dans les réalités locales,Technologie sans contexte,Solutions exclusivement étrangères,Développement sans utilisateurs,0,10,facile
Q00072,MIT,Défi express : Quel type d'architecture MIT mentionne-t-elle ?,Microservices,Architecture uniquement monolithique,Peer-to-peer obligatoire,Mainframe uniquement,0,10,facile
Q00073,MIT,Défi express : Quel langage backend est cité par MIT ?,Python,BASIC,Delphi uniquement,Lua uniquement,0,10,facile
Q00074,MIT,Défi express : Quel framework backend PHP est cité ?,Laravel,React,Flutter,TensorFlow,0,10,facile
Q00075,MIT,Défi express : Quel framework frontend supplémentaire est cité ?,Vue.js,NumPy,Keras,Docker,0,10,facile
Q00076,MIT,Testez vos connaissances : Que signifie MIT dans Maroua Innovation Technology ?,Maroua Innovation Technology,Machine Intelligence Technology,Maroua Internet Telecom,Modern Innovation Team,0,10,facile
Q00077,MIT,Testez vos connaissances : Quel est le domaine principal de MIT ?,Développement de solutions technologiques,Production agricole,Transport routier,Commerce de détail,0,10,facile
Q00078,MIT,Testez vos connaissances : Dans quelle ville MIT est-elle implantée ?,Maroua,Douala,Bafoussam,Bertoua,0,10,facile
Q00079,MIT,Testez vos connaissances : Quelle est une expertise de MIT ?,Intelligence artificielle et Machine Learning,Construction de routes,Pêche industrielle,Production textile,0,10,facile
Q00080,MIT,Testez vos connaissances : Quel framework frontend est cité par MIT ?,React,Django,Spring,Laravel uniquement,0,10,facile
Q00081,MIT,Testez vos connaissances : Quel framework full-stack JavaScript est cité par MIT ?,Next.js,Symfony,Flask,Rails,0,10,facile
Q00082,MIT,Testez vos connaissances : Quel langage est utilisé côté mobile chez MIT ?,Kotlin,COBOL,Fortran,Pascal,0,10,facile
Q00083,MIT,Testez vos connaissances : Quel framework mobile est cité par MIT ?,Flutter,jQuery,Express,Django,0,10,facile
Q00084,MIT,Testez vos connaissances : Quelle base de données est citée parmi les technologies MIT ?,PostgreSQL,SQLite uniquement,Access,FoxPro,0,10,facile
Q00085,MIT,Testez vos connaissances : Quelle technologie cloud est citée par MIT ?,AWS,FTP,Telnet,IRC,0,10,facile
Q00086,MIT,Testez vos connaissances : Quelle est une mission affichée par MIT ?,Développer des solutions contextuelles et impactantes,Remplacer les écoles,Vendre du matériel uniquement,Créer des jeux exclusivement,0,10,facile
Q00087,MIT,Testez vos connaissances : Quelle vision est associée à MIT ?,Démocratiser l'accès à la technologie en Afrique,Limiter l'accès au numérique,Supprimer les services mobiles,Réserver l'IA aux grandes entreprises,0,10,facile
Q00088,MIT,Testez vos connaissances : Quel type de développement MIT met en avant ?,Applications Web Progressives,Applications DOS uniquement,Sites statiques sans interaction,Logiciels sans interface,0,10,facile
Q00089,MIT,Testez vos connaissances : Quel domaine DevOps est cité par MIT ?,Docker,BIOS,Assembly,VBScript,0,10,facile
Q00090,MIT,Testez vos connaissances : Quelle solution agricole de MIT est mise en avant ?,NDEMRI,Malloum,Pharmacie de Garde Maroua,Djanguirde,0,10,facile
Q00091,MIT,Testez vos connaissances : Quelle solution éducative par SMS est associée à MIT ?,Malloum,NDEMRI,Docker,PostgreSQL,0,10,facile
Q00092,MIT,Testez vos connaissances : Quel service numérique de santé est visible dans l'écosystème MIT ?,Pharmacie de Garde Maroua,NDEMRI,Malloum,React,0,10,facile
Q00093,MIT,Testez vos connaissances : Quelle méthode de travail MIT cite-t-elle ?,Méthodologies agiles,Méthode sans test,Développement sans analyse,Programmation papier,0,10,facile
Q00094,MIT,Testez vos connaissances : Quelle étape vient avant le développement dans la méthode affichée par MIT ?,Design,Déploiement,Monitoring,Maintenance,0,10,facile
Q00095,MIT,Testez vos connaissances : Quelle étape correspond à l'étude des besoins et de faisabilité ?,Analyse,Design,Développement,Déploiement,0,10,facile
Q00096,MIT,Testez vos connaissances : Quelle valeur résume l'approche de MIT ?,Innovation ancrée dans les réalités locales,Technologie sans contexte,Solutions exclusivement étrangères,Développement sans utilisateurs,0,10,facile
Q00097,MIT,Testez vos connaissances : Quel type d'architecture MIT mentionne-t-elle ?,Microservices,Architecture uniquement monolithique,Peer-to-peer obligatoire,Mainframe uniquement,0,10,facile
Q00098,MIT,Testez vos connaissances : Quel langage backend est cité par MIT ?,Python,BASIC,Delphi uniquement,Lua uniquement,0,10,facile
Q00099,MIT,Testez vos connaissances : Quel framework backend PHP est cité ?,Laravel,React,Flutter,TensorFlow,0,10,facile
Q00100,MIT,Testez vos connaissances : Quel framework frontend supplémentaire est cité ?,Vue.js,NumPy,Keras,Docker,0,10,facile
Q00101,MIT,Le saviez-vous ? Que signifie MIT dans Maroua Innovation Technology ?,Maroua Innovation Technology,Machine Intelligence Technology,Maroua Internet Telecom,Modern Innovation Team,0,10,facile
Q00102,MIT,Le saviez-vous ? Quel est le domaine principal de MIT ?,Développement de solutions technologiques,Production agricole,Transport routier,Commerce de détail,0,10,facile
Q00103,MIT,Le saviez-vous ? Dans quelle ville MIT est-elle implantée ?,Maroua,Douala,Bafoussam,Bertoua,0,10,facile
Q00104,MIT,Le saviez-vous ? Quelle est une expertise de MIT ?,Intelligence artificielle et Machine Learning,Construction de routes,Pêche industrielle,Production textile,0,10,facile
Q00105,MIT,Le saviez-vous ? Quel framework frontend est cité par MIT ?,React,Django,Spring,Laravel uniquement,0,10,facile
Q00106,MIT,Le saviez-vous ? Quel framework full-stack JavaScript est cité par MIT ?,Next.js,Symfony,Flask,Rails,0,10,facile
Q00107,MIT,Le saviez-vous ? Quel langage est utilisé côté mobile chez MIT ?,Kotlin,COBOL,Fortran,Pascal,0,10,facile
Q00108,MIT,Le saviez-vous ? Quel framework mobile est cité par MIT ?,Flutter,jQuery,Express,Django,0,10,facile
Q00109,MIT,Le saviez-vous ? Quelle base de données est citée parmi les technologies MIT ?,PostgreSQL,SQLite uniquement,Access,FoxPro,0,10,facile
Q00110,MIT,Le saviez-vous ? Quelle technologie cloud est citée par MIT ?,AWS,FTP,Telnet,IRC,0,10,facile
Q00111,MIT,Le saviez-vous ? Quelle est une mission affichée par MIT ?,Développer des solutions contextuelles et impactantes,Remplacer les écoles,Vendre du matériel uniquement,Créer des jeux exclusivement,0,10,facile
Q00112,MIT,Le saviez-vous ? Quelle vision est associée à MIT ?,Démocratiser l'accès à la technologie en Afrique,Limiter l'accès au numérique,Supprimer les services mobiles,Réserver l'IA aux grandes entreprises,0,10,facile
Q00113,MIT,Le saviez-vous ? Quel type de développement MIT met en avant ?,Applications Web Progressives,Applications DOS uniquement,Sites statiques sans interaction,Logiciels sans interface,0,10,facile
Q00114,MIT,Le saviez-vous ? Quel domaine DevOps est cité par MIT ?,Docker,BIOS,Assembly,VBScript,0,10,facile
Q00115,MIT,Le saviez-vous ? Quelle solution agricole de MIT est mise en avant ?,NDEMRI,Malloum,Pharmacie de Garde Maroua,Djanguirde,0,10,facile
Q00116,MIT,Le saviez-vous ? Quelle solution éducative par SMS est associée à MIT ?,Malloum,NDEMRI,Docker,PostgreSQL,0,10,facile
Q00117,MIT,Le saviez-vous ? Quel service numérique de santé est visible dans l'écosystème MIT ?,Pharmacie de Garde Maroua,NDEMRI,Malloum,React,0,10,facile
Q00118,MIT,Le saviez-vous ? Quelle méthode de travail MIT cite-t-elle ?,Méthodologies agiles,Méthode sans test,Développement sans analyse,Programmation papier,0,10,facile
Q00119,MIT,Le saviez-vous ? Quelle étape vient avant le développement dans la méthode affichée par MIT ?,Design,Déploiement,Monitoring,Maintenance,0,10,facile
Q00120,MIT,Le saviez-vous ? Quelle étape correspond à l'étude des besoins et de faisabilité ?,Analyse,Design,Développement,Déploiement,0,10,facile
Q00121,MIT,Le saviez-vous ? Quelle valeur résume l'approche de MIT ?,Innovation ancrée dans les réalités locales,Technologie sans contexte,Solutions exclusivement étrangères,Développement sans utilisateurs,0,10,facile
Q00122,MIT,Le saviez-vous ? Quel type d'architecture MIT mentionne-t-elle ?,Microservices,Architecture uniquement monolithique,Peer-to-peer obligatoire,Mainframe uniquement,0,10,facile
Q00123,MIT,Le saviez-vous ? Quel langage backend est cité par MIT ?,Python,BASIC,Delphi uniquement,Lua uniquement,0,10,facile
Q00124,MIT,Le saviez-vous ? Quel framework backend PHP est cité ?,Laravel,React,Flutter,TensorFlow,0,10,facile
Q00125,MIT,Le saviez-vous ? Quel framework frontend supplémentaire est cité ?,Vue.js,NumPy,Keras,Docker,0,10,facile
Q00126,MIT,Quiz du jour : Que signifie MIT dans Maroua Innovation Technology ?,Maroua Innovation Technology,Machine Intelligence Technology,Maroua Internet Telecom,Modern Innovation Team,0,10,moyen
Q00127,MIT,Quiz du jour : Quel est le domaine principal de MIT ?,Développement de solutions technologiques,Production agricole,Transport routier,Commerce de détail,0,10,moyen
Q00128,MIT,Quiz du jour : Dans quelle ville MIT est-elle implantée ?,Maroua,Douala,Bafoussam,Bertoua,0,10,moyen
Q00129,MIT,Quiz du jour : Quelle est une expertise de MIT ?,Intelligence artificielle et Machine Learning,Construction de routes,Pêche industrielle,Production textile,0,10,moyen
Q00130,MIT,Quiz du jour : Quel framework frontend est cité par MIT ?,React,Django,Spring,Laravel uniquement,0,10,moyen
Q00131,MIT,Quiz du jour : Quel framework full-stack JavaScript est cité par MIT ?,Next.js,Symfony,Flask,Rails,0,10,moyen
Q00132,MIT,Quiz du jour : Quel langage est utilisé côté mobile chez MIT ?,Kotlin,COBOL,Fortran,Pascal,0,10,moyen
Q00133,MIT,Quiz du jour : Quel framework mobile est cité par MIT ?,Flutter,jQuery,Express,Django,0,10,moyen
Q00134,MIT,Quiz du jour : Quelle base de données est citée parmi les technologies MIT ?,PostgreSQL,SQLite uniquement,Access,FoxPro,0,10,moyen
Q00135,MIT,Quiz du jour : Quelle technologie cloud est citée par MIT ?,AWS,FTP,Telnet,IRC,0,10,moyen
Q00136,MIT,Quiz du jour : Quelle est une mission affichée par MIT ?,Développer des solutions contextuelles et impactantes,Remplacer les écoles,Vendre du matériel uniquement,Créer des jeux exclusivement,0,10,moyen
Q00137,MIT,Quiz du jour : Quelle vision est associée à MIT ?,Démocratiser l'accès à la technologie en Afrique,Limiter l'accès au numérique,Supprimer les services mobiles,Réserver l'IA aux grandes entreprises,0,10,moyen
Q00138,MIT,Quiz du jour : Quel type de développement MIT met en avant ?,Applications Web Progressives,Applications DOS uniquement,Sites statiques sans interaction,Logiciels sans interface,0,10,moyen
Q00139,MIT,Quiz du jour : Quel domaine DevOps est cité par MIT ?,Docker,BIOS,Assembly,VBScript,0,10,moyen
Q00140,MIT,Quiz du jour : Quelle solution agricole de MIT est mise en avant ?,NDEMRI,Malloum,Pharmacie de Garde Maroua,Djanguirde,0,10,moyen
Q00141,MIT,Quiz du jour : Quelle solution éducative par SMS est associée à MIT ?,Malloum,NDEMRI,Docker,PostgreSQL,0,10,moyen
Q00142,MIT,Quiz du jour : Quel service numérique de santé est visible dans l'écosystème MIT ?,Pharmacie de Garde Maroua,NDEMRI,Malloum,React,0,10,moyen
Q00143,MIT,Quiz du jour : Quelle méthode de travail MIT cite-t-elle ?,Méthodologies agiles,Méthode sans test,Développement sans analyse,Programmation papier,0,10,moyen
Q00144,MIT,Quiz du jour : Quelle étape vient avant le développement dans la méthode affichée par MIT ?,Design,Déploiement,Monitoring,Maintenance,0,10,moyen
Q00145,MIT,Quiz du jour : Quelle étape correspond à l'étude des besoins et de faisabilité ?,Analyse,Design,Développement,Déploiement,0,10,moyen
Q00146,MIT,Quiz du jour : Quelle valeur résume l'approche de MIT ?,Innovation ancrée dans les réalités locales,Technologie sans contexte,Solutions exclusivement étrangères,Développement sans utilisateurs,0,10,moyen
Q00147,MIT,Quiz du jour : Quel type d'architecture MIT mentionne-t-elle ?,Microservices,Architecture uniquement monolithique,Peer-to-peer obligatoire,Mainframe uniquement,0,10,moyen
Q00148,MIT,Quiz du jour : Quel langage backend est cité par MIT ?,Python,BASIC,Delphi uniquement,Lua uniquement,0,10,moyen
Q00149,MIT,Quiz du jour : Quel framework backend PHP est cité ?,Laravel,React,Flutter,TensorFlow,0,10,moyen
Q00150,MIT,Quiz du jour : Quel framework frontend supplémentaire est cité ?,Vue.js,NumPy,Keras,Docker,0,10,moyen
Q00151,MIT,À vous de jouer : Que signifie MIT dans Maroua Innovation Technology ?,Maroua Innovation Technology,Machine Intelligence Technology,Maroua Internet Telecom,Modern Innovation Team,0,10,moyen
Q00152,MIT,À vous de jouer : Quel est le domaine principal de MIT ?,Développement de solutions technologiques,Production agricole,Transport routier,Commerce de détail,0,10,moyen
Q00153,MIT,À vous de jouer : Dans quelle ville MIT est-elle implantée ?,Maroua,Douala,Bafoussam,Bertoua,0,10,moyen
Q00154,MIT,À vous de jouer : Quelle est une expertise de MIT ?,Intelligence artificielle et Machine Learning,Construction de routes,Pêche industrielle,Production textile,0,10,moyen
Q00155,MIT,À vous de jouer : Quel framework frontend est cité par MIT ?,React,Django,Spring,Laravel uniquement,0,10,moyen
Q00156,MIT,À vous de jouer : Quel framework full-stack JavaScript est cité par MIT ?,Next.js,Symfony,Flask,Rails,0,10,moyen
Q00157,MIT,À vous de jouer : Quel langage est utilisé côté mobile chez MIT ?,Kotlin,COBOL,Fortran,Pascal,0,10,moyen
Q00158,MIT,À vous de jouer : Quel framework mobile est cité par MIT ?,Flutter,jQuery,Express,Django,0,10,moyen
Q00159,MIT,À vous de jouer : Quelle base de données est citée parmi les technologies MIT ?,PostgreSQL,SQLite uniquement,Access,FoxPro,0,10,moyen
Q00160,MIT,À vous de jouer : Quelle technologie cloud est citée par MIT ?,AWS,FTP,Telnet,IRC,0,10,moyen
Q00161,MIT,À vous de jouer : Quelle est une mission affichée par MIT ?,Développer des solutions contextuelles et impactantes,Remplacer les écoles,Vendre du matériel uniquement,Créer des jeux exclusivement,0,10,moyen
Q00162,MIT,À vous de jouer : Quelle vision est associée à MIT ?,Démocratiser l'accès à la technologie en Afrique,Limiter l'accès au numérique,Supprimer les services mobiles,Réserver l'IA aux grandes entreprises,0,10,moyen
Q00163,MIT,À vous de jouer : Quel type de développement MIT met en avant ?,Applications Web Progressives,Applications DOS uniquement,Sites statiques sans interaction,Logiciels sans interface,0,10,moyen
Q00164,MIT,À vous de jouer : Quel domaine DevOps est cité par MIT ?,Docker,BIOS,Assembly,VBScript,0,10,moyen
Q00165,MIT,À vous de jouer : Quelle solution agricole de MIT est mise en avant ?,NDEMRI,Malloum,Pharmacie de Garde Maroua,Djanguirde,0,10,moyen
Q00166,MIT,À vous de jouer : Quelle solution éducative par SMS est associée à MIT ?,Malloum,NDEMRI,Docker,PostgreSQL,0,10,moyen
Q00167,MIT,À vous de jouer : Quel service numérique de santé est visible dans l'écosystème MIT ?,Pharmacie de Garde Maroua,NDEMRI,Malloum,React,0,10,moyen
Q00168,MIT,À vous de jouer : Quelle méthode de travail MIT cite-t-elle ?,Méthodologies agiles,Méthode sans test,Développement sans analyse,Programmation papier,0,10,moyen
Q00169,MIT,À vous de jouer : Quelle étape vient avant le développement dans la méthode affichée par MIT ?,Design,Déploiement,Monitoring,Maintenance,0,10,moyen
Q00170,MIT,À vous de jouer : Quelle étape correspond à l'étude des besoins et de faisabilité ?,Analyse,Design,Développement,Déploiement,0,10,moyen
Q00171,MIT,À vous de jouer : Quelle valeur résume l'approche de MIT ?,Innovation ancrée dans les réalités locales,Technologie sans contexte,Solutions exclusivement étrangères,Développement sans utilisateurs,0,10,moyen
Q00172,MIT,À vous de jouer : Quel type d'architecture MIT mentionne-t-elle ?,Microservices,Architecture uniquement monolithique,Peer-to-peer obligatoire,Mainframe uniquement,0,10,moyen
Q00173,MIT,À vous de jouer : Quel langage backend est cité par MIT ?,Python,BASIC,Delphi uniquement,Lua uniquement,0,10,moyen
Q00174,MIT,À vous de jouer : Quel framework backend PHP est cité ?,Laravel,React,Flutter,TensorFlow,0,10,moyen
Q00175,MIT,À vous de jouer : Quel framework frontend supplémentaire est cité ?,Vue.js,NumPy,Keras,Docker,0,10,moyen
Q00176,MIT,Challenge : Que signifie MIT dans Maroua Innovation Technology ?,Maroua Innovation Technology,Machine Intelligence Technology,Maroua Internet Telecom,Modern Innovation Team,0,10,moyen
Q00177,MIT,Challenge : Quel est le domaine principal de MIT ?,Développement de solutions technologiques,Production agricole,Transport routier,Commerce de détail,0,10,moyen
Q00178,MIT,Challenge : Dans quelle ville MIT est-elle implantée ?,Maroua,Douala,Bafoussam,Bertoua,0,10,moyen
Q00179,MIT,Challenge : Quelle est une expertise de MIT ?,Intelligence artificielle et Machine Learning,Construction de routes,Pêche industrielle,Production textile,0,10,moyen
Q00180,MIT,Challenge : Quel framework frontend est cité par MIT ?,React,Django,Spring,Laravel uniquement,0,10,moyen
Q00181,MIT,Challenge : Quel framework full-stack JavaScript est cité par MIT ?,Next.js,Symfony,Flask,Rails,0,10,moyen
Q00182,MIT,Challenge : Quel langage est utilisé côté mobile chez MIT ?,Kotlin,COBOL,Fortran,Pascal,0,10,moyen
Q00183,MIT,Challenge : Quel framework mobile est cité par MIT ?,Flutter,jQuery,Express,Django,0,10,moyen
Q00184,MIT,Challenge : Quelle base de données est citée parmi les technologies MIT ?,PostgreSQL,SQLite uniquement,Access,FoxPro,0,10,moyen
Q00185,MIT,Challenge : Quelle technologie cloud est citée par MIT ?,AWS,FTP,Telnet,IRC,0,10,moyen
Q00186,MIT,Challenge : Quelle est une mission affichée par MIT ?,Développer des solutions contextuelles et impactantes,Remplacer les écoles,Vendre du matériel uniquement,Créer des jeux exclusivement,0,10,moyen
Q00187,MIT,Challenge : Quelle vision est associée à MIT ?,Démocratiser l'accès à la technologie en Afrique,Limiter l'accès au numérique,Supprimer les services mobiles,Réserver l'IA aux grandes entreprises,0,10,moyen
